ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;155603968921;-2.6;2.2;1.1;
1;155604227198;-2.7;2.2;1.1;
2;155604485525;-2.6;2.2;1.2;
3;155604735471;-2.6;2.3;1.3;
4;155604993748;-2.8;2.2;1.4;
5;155605243844;-2.8;2.2;1.5;
6;155605493565;-2.9;2.2;1.5;
7;155605735204;-1.9;1.2;1.6;
8;155605993581;1.5;-3.3;1.9;
9;155606251884;2;-8.8;2.8;
10;155606510061;1.8;-15.5;2.8;
11;155606760007;1.5;-21.4;2.7;
12;155607026616;2;-25.3;2.6;
13;155607268230;1.7;-30.6;2.9;
14;155607526382;1.3;-35.5;3.4;
15;155607784709;1.6;-39.3;2.9;
16;155608043037;0.8;-39.9;3.5;
17;155608292982;2.1;-35.9;2.8;
18;155608542928;1.9;-30.7;2;
19;155608792874;1.9;-26.6;1.3;
20;155609051151;1.6;-23.4;1.4;
21;155609317760;1.6;-19.8;1.3;
22;155609576112;1.7;-16.3;1.4;
23;155609817726;1.6;-16.1;1.7;
24;155610084335;2.5;-14.4;1;
25;155610334306;2.9;-11.3;0.3;
26;155610592583;2.7;-11.2;1;
27;155610850861;2.5;-12.1;1.5;
28;155611109138;2.6;-12.9;1.3;
29;155611359084;2;-19.1;2.7;
30;155611617336;0.9;-28.4;3.5;
31;155611867307;0.9;-38.2;3.1;
32;155612125584;-1.2;-49.6;3.8;
33;155612383886;-1.2;-58.1;3.3;
34;155612633832;1.8;-64.4;0.1;
35;155612900441;0.4;-71;3.2;
36;155613150361;-13.8;-76.5;17.4;
37;155613408639;-36.5;-83.4;40.9;
38;155613658584;-97;-86.3;101.9;
39;155613908555;-134;-85.9;138.8;
40;155614175164;-143.3;-86;147.9;
41;155614433441;-139.3;-86.3;143.5;
42;155614675055;-156.1;-83.6;160.4;
43;155614949996;-164.1;-80.3;168.6;
44;155615199942;-167.6;-78.3;172.1;
45;155615433224;-170.2;-76.4;174.2;
46;155615699833;-171.4;-75;175.1;
47;155615966467;-170.7;-73.3;174;
48;155616224744;-171.8;-69.2;174.4;
49;155616466358;-174.7;-63.9;176.5;
50;155616732892;179.3;-59.8;180;
51;155616982713;172.5;-55.3;-179.7;
52;155617240990;170.7;-43.5;-179.8;
53;155617490936;173.7;-35.1;-179.4;
54;155617749338;175.6;-28.8;179.8;
55;155617999259;178.3;-20;179;
56;155618257536;177.7;-13.7;178.8;
57;155618499225;178.3;-7.9;178.6;
58;155618765809;178.3;-1.7;178.9;
59;155619024112;179.2;1.3;178.3;
60;155619290720;179.4;3.9;179.7;
61;155619532335;178.9;6.8;-178.9;
62;155619782280;-179.9;10.1;-179.5;
63;155620040458;-179.3;12.8;-179.2;
64;155620298735;-178.4;15.1;-178.5;
65;155620565394;-177.3;18;-178.3;
66;155620807008;-177.6;22.9;-178.8;
67;155621056979;-177.9;27.3;-179.1;
68;155621323587;-177.8;31.4;-179;
69;155621581865;-177;40.5;-177.1;
70;155621840142;-177.1;40.4;-177.5;
71;155622090088;-177.2;39.9;-177.9;
72;155622348365;-177.8;40.1;-178.8;
73;155622598311;-178.1;40.8;-179.5;
74;155622856388;-179.1;46.6;179.6;
75;155623106334;-179.8;54;179.3;
76;155623364686;-179.1;61.8;-179.9;
77;155623623038;-179.3;69.1;179.9;
78;155623873034;-174.5;74.9;-176.2;
79;155624122980;-176.7;80.2;-178.1;
80;155624397920;177.8;85.5;175.1;
81;155624639509;142.6;88.7;139.9;
82;155624897812;52.8;88.5;49.3;
83;155625139376;27.7;85.9;24.2;
84;155625422773;16.1;81.3;15.2;
85;155625664312;4.3;77.9;7.3;
86;155625922614;-11.3;76.2;-0.3;
87;155626172560;-16.5;73.8;0.6;
88;155626439169;-13.6;70.2;2.8;
89;155626697446;-9.4;64.6;2.7;
90;155626938910;-1.9;63.7;2.6;
91;155627197338;4.2;65.9;5.3;
92;155627463996;5.6;64.7;5.6;
93;155627705611;2.9;61.9;2.6;
94;155627963888;3.7;56.1;3.3;
95;155628230497;2.6;51;1.8;
96;155628497105;1.7;50;-0.1;
97;155628747051;1.8;48.1;-0.2;
98;155628996922;2.4;47.9;0.5;
99;155629255374;2.4;49;0.7;
100;155629496788;2.1;52.1;0.1;
101;155629771779;2.1;57;-0.3;
102;155630013393;1.8;63.4;-0.6;
103;155630271670;1.8;69.9;-0.7;
104;155630529973;2.7;74.1;-0.1;
105;155630788250;5.6;75.6;2.5;
106;155631046502;8;72.4;4.9;
107;155631296398;7.1;68.8;4.2;
108;155631554675;6;63.6;2.8;
109;155631804621;4.9;55.5;1.7;
110;155632062898;3.8;47.8;1.4;
111;155632312919;3.6;40.6;1.2;
112;155632571196;2.9;32.6;1.5;
113;155632837630;2.7;28.1;0.5;
114;155633096032;2.1;22.9;-0.5;
115;155633337646;3.2;15.8;-0.5;
116;155633595849;2.8;13;1.1;
117;155633845795;2.8;11.3;1.3;
