ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;172551511797;-0.1;-2.1;4.5;
1;172551770074;-0.1;-2.1;4.5;
2;172552028352;0.1;-2;4.4;
3;172552286629;4.8;-1.4;3.9;
4;172552544906;6.7;0;3.5;
5;172552769857;6.7;1.6;3.4;
6;172553028135;6;7.3;3.3;
7;172553286412;6;14;3.3;
8;172553544689;5.9;16.1;3.7;
9;172553802966;5.6;11.5;4.3;
10;172554052912;4.4;5;4;
11;172554311189;1.4;-2;4;
12;172554569467;-2.7;-4.9;4.5;
13;172554827744;-7.5;-6.5;4.7;
14;172555061027;-8;-6.9;4.9;
15;172555344299;-7.3;-8.1;5.1;
16;172555577581;-7.2;-10.9;4.8;
17;172555844190;-6.7;-12.5;4.4;
18;172556094136;-6.4;-9.6;3.8;
19;172556352413;-6.7;-8.6;4.1;
20;172556602359;-6.5;-7.9;4;
21;172556852305;-6.6;-7.3;4.1;
22;172557110582;-6.3;-6.7;3.6;
23;172557377191;-6.2;-6.5;3.5;
24;172557627136;-6.1;-6.6;3.5;
25;172557885414;-6;-6.6;3.4;
26;172558143691;-5.8;-7;3.6;
27;172558401968;-5.7;-7.2;3.8;
28;172558643582;-5.9;-7.2;3.8;
29;172558910191;-5.8;-7.4;3.9;
30;172559160137;-5.8;-7.4;3.9;
31;172559418414;-5.8;-7.6;4;
32;172559668360;-5.8;-7.6;3.9;
33;172559918306;-5.6;-7.5;3.8;
34;172560184915;-5.5;-7.6;4;
35;172560434860;-5.7;-7.9;4.2;
36;172560692988;-5.6;-7.9;4.2;
37;172560951315;-5.3;-7.7;4.1;
38;172561209592;-5.4;-7.9;4.2;
39;172561459538;-5.3;-7.9;4.2;
40;172561726147;-5.1;-7.9;4.1;
41;172561976092;-5.2;-7.9;4;
42;172562234370;-5.3;-8.2;4;
43;172562492647;-5.5;-7.9;3.8;
44;172562742593;-5.6;-7.7;3.7;
45;172562992589;-5.7;-7.6;3.8;
46;172563250866;-6.3;-7.5;3.7;
47;172563509143;-6.7;-7.6;3.9;
48;172563759089;-10.6;-6.9;4.1;
49;172564025723;-10.5;-7.3;4.3;
50;172564275668;-10.3;-7.7;4.3;
51;172564525614;-9.9;-8;4.2;
52;172564792223;-9.7;-8.2;4.1;
53;172565033837;-9.5;-8.9;4.5;
54;172565292114;-9.4;-9;4.6;
55;172565550392;-9.4;-9;4.5;
56;172565800337;-9.4;-8.8;4.4;
57;172566058615;-9;-8.9;4.4;
58;172566316892;-9;-8.8;4.4;
59;172566566838;-8.9;-8.9;4.5;
60;172566825115;-9.1;-9.1;4.5;
61;172567083392;-9.1;-9.1;4.7;
62;172567333338;-9;-8.7;4.6;
63;172567591615;-8.6;-4.8;5.1;
64;172567858224;-8.1;4.7;5.8;
65;172568099838;-6.2;20;7.3;
66;172568349784;-6;25.5;6.8;
67;172568608061;-6.7;19.5;5.9;
68;172568866339;-8.1;6.7;4.5;
69;172569124616;-9.1;-8.7;2.4;
70;172569366230;-9.4;-11.8;1.5;
71;172569632839;-9.1;-8.8;3.2;
72;172569891116;-8.5;-6.4;2.7;
73;172570157725;-8.3;-6.1;2.7;
74;172570399339;-8.1;-5.5;2.7;
75;172570665948;-7.3;-6.1;2.6;
76;172570915894;-7.4;-6.4;2.9;
77;172571165665;-8.1;-6.9;3.1;
78;172571415610;-8.1;-6.5;3.3;
79;172571682219;-8.6;-6.4;3.7;
80;172571923833;-9;-5;3.8;
81;172572190442;-8.6;-3.8;3.6;
82;172572448719;-8.6;-4;3.6;
83;172572690334;-8.9;-4.1;3.5;
84;172572965274;-9;-6.9;3.8;
85;172573215220;-9.1;-10.4;3.9;
86;172573481828;-9.5;-12.3;3.9;
87;172573731774;-9.7;-13.1;4.3;
88;172573990052;-9.6;-11.5;3.9;
89;172574248329;-9;-8.8;3.6;
90;172574506606;-8.6;-5.1;3.4;
91;172574739889;-8.9;-5.4;3.8;
92;172575014829;-9.3;-5.7;3.9;
93;172575264775;-9.2;-5.6;3.9;
94;172575523052;-9;-5.4;3.7;
95;172575781329;-8.8;-5.2;3.6;
96;172576031275;-8.9;-5.1;3.8;
97;172576289552;-8.8;-5.1;3.8;
98;172576539498;-8.8;-5.1;3.9;
99;172576797825;-8.6;-5;3.9;
100;172577056103;-8.4;-5;3.9;
101;172577314380;-8.4;-5.1;3.8;
102;172577564326;-8.2;-4.9;3.8;
103;172577822603;-8;-4.9;3.7;
104;172578064217;-8.1;-4.7;3.6;
105;172578330826;-8.1;-4.7;3.7;
106;172578589103;-7.9;-4.6;3.8;
107;172578839049;-7.7;-4.9;4;
108;172579097326;-7.6;-4.8;4.1;
109;172579355604;-7.6;-4.8;4.1;
110;172579605549;-7.4;-4.7;3.9;
111;172579863827;-7.4;-4.7;3.9;
112;172580122104;-7.3;-4.9;4.1;
113;172580372050;-7.2;-5.1;4.2;
114;172580630327;-7.2;-5.1;4.3;
115;172580888604;-7.3;-5.1;4.2;
116;172581138550;-7.2;-5.3;4.3;
