ID; TimeStamp; HMDRX; HMDRY; HMDRZ;
0;954579552260;-7.9;-1;-2;
1;954579818869;-8;-0.9;-2;
2;954580077146;-8;-0.7;-2.1;
3;954580335424;-9.3;-0.7;-2.3;
4;954580585369;-12.5;-2.5;-2.6;
5;954580835315;-12.7;-4.4;-1.9;
6;954581068598;-12;-5.8;-1.6;
7;954581326875;-10.8;-6.4;-1.9;
8;954581576821;-9.9;-5.5;-2.6;
9;954581851836;-9.8;-5.7;-2.3;
10;954582110113;-8.7;-3.9;-2.6;
11;954582351728;-8.4;-1.5;-3.1;
12;954582618336;-8.2;-2.3;-2.9;
13;954582868232;-8.3;-4.2;-2.5;
14;954583109846;-7.2;-3.9;-2.4;
15;954583384787;-6.9;-7.1;-2.5;
16;954583643064;-8.2;-14.5;-1.9;
17;954583884703;-10.3;-27.6;-1.1;
18;954584143081;-17.5;-48.8;0.7;
19;954584401358;-29.1;-62.6;6.3;
20;954584642972;-35.4;-70.4;14.4;
21;954584909581;-108.3;-81.4;94.3;
22;954585167858;-127.8;-79;115.8;
23;954585417804;-112.1;-80.8;100.5;
24;954585676081;-32.1;-74.2;20.1;
25;954585926027;-14.7;-48.8;3;
26;954586192636;-11.2;-22;-1.4;
27;954586442581;-9.3;-1.4;-4.6;
28;954586692527;-9.9;10.8;-6.1;
29;954586950804;-9.9;16.9;-6.5;
30;954587209082;-10;22;-7.3;
31;954587467359;-10;27.6;-7.7;
32;954587717305;-10.3;32.1;-7.9;
33;954587975582;-10.9;35.4;-7.7;
34;954588233859;-10.1;34.9;-6.4;
35;954588467142;-10.1;36.1;-7.2;
36;954588750414;-10.5;32.5;-6.6;
37;954589000210;-10.6;28.9;-5.2;
38;954589250155;-11.6;26.5;-4.1;
39;954589516764;-11.7;25.9;-3.9;
40;954589766735;-10.8;26;-3.9;
41;954590016706;-10.9;24.2;-3.4;
42;954590266651;-12.3;19.7;-2.5;
43;954590524929;-13.2;17.1;-1.9;
44;954590783206;-13.1;16.5;-1.7;
45;954591041483;-12.9;16.5;-1.7;
46;954591308092;-12.7;16.7;-1.7;
47;954591549706;-11.3;19;-2;
48;954591799677;-6.8;21.4;-2.9;
49;954592066286;-1.8;23.6;-3.5;
50;954592324463;2.6;25.2;-4;
51;954592582740;3.7;24.6;-4.2;
52;954592849374;2.2;23.3;-4.3;
53;954593099320;-1;21.3;-4.3;
54;954593324321;-4.6;18.9;-4.4;
55;954593590930;-8.4;17.2;-4.3;
56;954593849207;-11.2;16.1;-4.2;
57;954594107484;-12.2;15.4;-3.9;
58;954594365762;-13.2;15.1;-3.8;
59;954594615707;-13.8;14.6;-3.6;
60;954594865653;-13.5;15;-3.8;
61;954595123930;-13.3;15;-3.8;
62;954595390539;-13.4;15.3;-4;
63;954595640485;-13.4;15.6;-4.2;
64;954595890506;-13.4;15.6;-4.2;
65;954596148808;-13.3;15.4;-4.2;
66;954596398829;-13.2;15.1;-4;
67;954596657006;-13.2;15;-4;
68;954596923415;-13.1;14.8;-3.9;
69;954597181692;-13.1;14.1;-3.6;
70;954597423306;-13.4;13.1;-3.3;
71;954597673252;-13.5;12.8;-3.2;
72;954597939861;-13.4;12.8;-3.2;
73;954598198138;-13.4;12.8;-3.2;
74;954598439752;-13.3;12.9;-3.3;
75;954598706361;-13.1;12.7;-3.2;
76;954598956307;-13.1;12.6;-3.1;
77;954599222916;-13.1;12.6;-3.1;
78;954599472862;-13.1;12.6;-3.1;
79;954599722807;-13.1;12.5;-3;
80;954599981085;-13.1;12.6;-3.1;
81;954600247693;-13.1;12.6;-3.1;
82;954600497739;-13.2;12.6;-3.2;
83;954600756016;-13.2;12.6;-3.3;
84;954601005962;-13.4;12.6;-3.3;
85;954601255908;-13.4;12.6;-3.3;
86;954601514185;-13.3;12.6;-3.2;
87;954601780794;-13.2;12.5;-3.1;
88;954602030740;-13.2;12.5;-3.1;
89;954602280685;-13.2;12.5;-3.1;
90;954602538963;-13.2;12.5;-3;
91;954602788908;-13.2;12.5;-3.1;
92;954603055517;-13.1;12.5;-3;
93;954603313795;-13.2;12.5;-3;
94;954603555409;-13.2;12.4;-3;
95;954603830349;-13.2;12.4;-3;
96;954604088626;-13.2;12.5;-3.1;
97;954604330241;-13.3;12.4;-3.1;
98;954604596849;-13.6;12.4;-3;
99;954604855127;-14;11.9;-2.6;
100;954605096741;-15.4;10;-1.9;
101;954605355018;-17.6;2.2;-1.1;
102;954605613295;-19.1;-11.6;1.6;
103;954605863241;-21.6;-21.3;5.1;
104;954606104855;-21.5;-22.8;6.8;
105;954606388127;-16.4;-23.6;5.7;
106;954606638073;-11.9;-29.1;6.7;
107;954606896350;-6.2;-27.5;5.1;
108;954607146296;-1.2;-25.5;2.4;
109;954607396267;-8;-30.5;1.7;
110;954607654594;-13.5;-32.1;2.9;
111;954607921203;-13.9;-27.7;2.8;
112;954608162817;-11.2;-15.8;2.9;
113;954608429426;-9.3;-4.9;2;
