time,ECG
2023-12-20 13:55:50.785714,-121.0
2023-12-20 13:55:50.793403,-293.0
2023-12-20 13:55:50.801092,-429.0
2023-12-20 13:55:50.808781,-264.0
2023-12-20 13:55:50.816470,102.0
2023-12-20 13:55:50.824159,281.0
2023-12-20 13:55:50.831848,236.0
2023-12-20 13:55:50.839537,147.0
2023-12-20 13:55:50.847226,40.0
2023-12-20 13:55:50.854915,-59.0
2023-12-20 13:55:50.862604,-88.0
2023-12-20 13:55:50.870293,-64.0
2023-12-20 13:55:50.877982,-61.0
2023-12-20 13:55:50.885671,-78.0
2023-12-20 13:55:50.893360,-76.0
2023-12-20 13:55:50.901049,-66.0
2023-12-20 13:55:50.908738,-76.0
2023-12-20 13:55:50.916427,-83.0
2023-12-20 13:55:50.924116,-78.0
2023-12-20 13:55:50.931805,-83.0
2023-12-20 13:55:50.939494,-97.0
2023-12-20 13:55:50.947183,-97.0
2023-12-20 13:55:50.954872,-92.0
2023-12-20 13:55:50.962561,-95.0
2023-12-20 13:55:50.970250,-102.0
2023-12-20 13:55:50.977939,-102.0
2023-12-20 13:55:50.985628,-92.0
2023-12-20 13:55:50.993317,-90.0
2023-12-20 13:55:51.001006,-90.0
2023-12-20 13:55:51.008695,-81.0
2023-12-20 13:55:51.016384,-71.0
2023-12-20 13:55:51.024073,-69.0
2023-12-20 13:55:51.031762,-64.0
2023-12-20 13:55:51.039451,-59.0
2023-12-20 13:55:51.047139,-47.0
2023-12-20 13:55:51.054828,-26.0
2023-12-20 13:55:51.062517,-11.0
2023-12-20 13:55:51.070206,-7.0
2023-12-20 13:55:51.077895,0.0
2023-12-20 13:55:51.085584,-2.0
2023-12-20 13:55:51.093273,-21.0
2023-12-20 13:55:51.100962,-26.0
2023-12-20 13:55:51.108651,-21.0
2023-12-20 13:55:51.116340,-33.0
2023-12-20 13:55:51.124029,-42.0
2023-12-20 13:55:51.131718,-33.0
2023-12-20 13:55:51.139407,-26.0
2023-12-20 13:55:51.147096,-26.0
2023-12-20 13:55:51.154785,-28.0
2023-12-20 13:55:51.162474,-35.0
2023-12-20 13:55:51.170163,-35.0
2023-12-20 13:55:51.177852,-26.0
2023-12-20 13:55:51.185541,-23.0
2023-12-20 13:55:51.193230,-21.0
2023-12-20 13:55:51.200919,-23.0
2023-12-20 13:55:51.208608,-35.0
2023-12-20 13:55:51.216297,-35.0
2023-12-20 13:55:51.223986,-30.0
2023-12-20 13:55:51.231675,-38.0
2023-12-20 13:55:51.239364,-42.0
2023-12-20 13:55:51.247053,-57.0
2023-12-20 13:55:51.254742,-95.0
2023-12-20 13:55:51.262431,-116.0
2023-12-20 13:55:51.270120,-104.0
2023-12-20 13:55:51.277809,-95.0
2023-12-20 13:55:51.285498,-90.0
2023-12-20 13:55:51.293187,-78.0
2023-12-20 13:55:51.300876,-61.0
2023-12-20 13:55:51.308565,-50.0
2023-12-20 13:55:51.316254,-47.0
2023-12-20 13:55:51.323943,-54.0
2023-12-20 13:55:51.331632,-50.0
