time,ECG
2023-08-09 16:16:11.347655,-88.0
2023-08-09 16:16:11.355346,-69.0
2023-08-09 16:16:11.363036,-50.0
2023-08-09 16:16:11.370726,-52.0
2023-08-09 16:16:11.378417,-42.0
2023-08-09 16:16:11.386107,-28.0
2023-08-09 16:16:11.393797,-23.0
2023-08-09 16:16:11.401488,-21.0
2023-08-09 16:16:11.409178,-11.0
2023-08-09 16:16:11.416868,9.0
2023-08-09 16:16:11.424559,28.0
2023-08-09 16:16:11.432249,42.0
2023-08-09 16:16:11.439939,64.0
2023-08-09 16:16:11.447630,88.0
2023-08-09 16:16:11.455320,105.0
2023-08-09 16:16:11.463010,117.0
2023-08-09 16:16:11.470700,121.0
2023-08-09 16:16:11.478391,117.0
2023-08-09 16:16:11.486081,100.0
2023-08-09 16:16:11.493771,69.0
2023-08-09 16:16:11.501462,38.0
2023-08-09 16:16:11.509152,7.0
2023-08-09 16:16:11.516842,-35.0
2023-08-09 16:16:11.524533,-78.0
2023-08-09 16:16:11.532223,-105.0
2023-08-09 16:16:11.539913,-124.0
2023-08-09 16:16:11.547604,-143.0
2023-08-09 16:16:11.555294,-143.0
2023-08-09 16:16:11.562984,-136.0
2023-08-09 16:16:11.570675,-136.0
2023-08-09 16:16:11.578365,-133.0
2023-08-09 16:16:11.586055,-128.0
2023-08-09 16:16:11.593746,-131.0
2023-08-09 16:16:11.601436,-131.0
2023-08-09 16:16:11.609126,-117.0
2023-08-09 16:16:11.616817,-107.0
2023-08-09 16:16:11.624507,-105.0
2023-08-09 16:16:11.632197,-100.0
2023-08-09 16:16:11.639888,-97.0
2023-08-09 16:16:11.647578,-93.0
2023-08-09 16:16:11.655268,-88.0
2023-08-09 16:16:11.662959,-90.0
2023-08-09 16:16:11.670649,-90.0
2023-08-09 16:16:11.678339,-78.0
2023-08-09 16:16:11.686030,-78.0
2023-08-09 16:16:11.693720,-85.0
2023-08-09 16:16:11.701410,-71.0
2023-08-09 16:16:11.709101,-59.0
2023-08-09 16:16:11.716791,-71.0
2023-08-09 16:16:11.724481,-78.0
2023-08-09 16:16:11.732172,-71.0
2023-08-09 16:16:11.739862,-64.0
2023-08-09 16:16:11.747552,-69.0
2023-08-09 16:16:11.755243,-74.0
2023-08-09 16:16:11.762933,-71.0
2023-08-09 16:16:11.770623,-69.0
2023-08-09 16:16:11.778314,-74.0
2023-08-09 16:16:11.786004,-78.0
2023-08-09 16:16:11.793694,-74.0
2023-08-09 16:16:11.801385,-62.0
2023-08-09 16:16:11.809075,-57.0
2023-08-09 16:16:11.816765,-62.0
2023-08-09 16:16:11.824456,-54.0
2023-08-09 16:16:11.832146,-23.0
2023-08-09 16:16:11.839836,-4.0
2023-08-09 16:16:11.847527,-11.0
2023-08-09 16:16:11.855217,-42.0
2023-08-09 16:16:11.862907,-59.0
2023-08-09 16:16:11.870598,-33.0
2023-08-09 16:16:11.878288,-21.0
2023-08-09 16:16:11.885978,-52.0
2023-08-09 16:16:11.893669,-74.0
2023-08-09 16:16:11.901359,-69.0
2023-08-09 16:16:11.909049,-71.0
2023-08-09 16:16:11.916740,-76.0
2023-08-09 16:16:11.924430,-69.0
2023-08-09 16:16:11.932120,-54.0
2023-08-09 16:16:11.939811,-57.0
2023-08-09 16:16:11.947501,-69.0
2023-08-09 16:16:11.955191,-76.0
2023-08-09 16:16:11.962882,-81.0
2023-08-09 16:16:11.970572,-100.0
2023-08-09 16:16:11.978262,-124.0
2023-08-09 16:16:11.985953,-83.0
2023-08-09 16:16:11.993643,105.0
2023-08-09 16:16:12.001333,429.0
2023-08-09 16:16:12.009024,673.0
2023-08-09 16:16:12.016714,503.0
2023-08-09 16:16:12.024404,21.0
2023-08-09 16:16:12.032095,-231.0
2023-08-09 16:16:12.039785,-214.0
2023-08-09 16:16:12.047475,-214.0
2023-08-09 16:16:12.055166,-181.0
2023-08-09 16:16:12.062856,-95.0
2023-08-09 16:16:12.070546,-88.0
2023-08-09 16:16:12.078237,-114.0
2023-08-09 16:16:12.085927,-83.0
2023-08-09 16:16:12.093617,-50.0
2023-08-09 16:16:12.101308,-50.0
2023-08-09 16:16:12.108998,-50.0
2023-08-09 16:16:12.116688,-40.0
2023-08-09 16:16:12.124379,-33.0
2023-08-09 16:16:12.132069,-23.0
2023-08-09 16:16:12.139759,-9.0
2023-08-09 16:16:12.147450,4.0
2023-08-09 16:16:12.155140,23.0
2023-08-09 16:16:12.162830,38.0
2023-08-09 16:16:12.170520,54.0
2023-08-09 16:16:12.178211,71.0
2023-08-09 16:16:12.185901,90.0
2023-08-09 16:16:12.193591,109.0
2023-08-09 16:16:12.201282,114.0
2023-08-09 16:16:12.208972,107.0
2023-08-09 16:16:12.216662,97.0
2023-08-09 16:16:12.224353,74.0
2023-08-09 16:16:12.232043,33.0
2023-08-09 16:16:12.239733,-4.0
2023-08-09 16:16:12.247424,-38.0
2023-08-09 16:16:12.255114,-71.0
2023-08-09 16:16:12.262804,-100.0
2023-08-09 16:16:12.270495,-114.0
2023-08-09 16:16:12.278185,-117.0
2023-08-09 16:16:12.285875,-119.0
2023-08-09 16:16:12.293566,-126.0
2023-08-09 16:16:12.301256,-128.0
2023-08-09 16:16:12.308946,-124.0
2023-08-09 16:16:12.316637,-121.0
2023-08-09 16:16:12.324327,-117.0
2023-08-09 16:16:12.332017,-112.0
2023-08-09 16:16:12.339708,-112.0
2023-08-09 16:16:12.347398,-109.0
2023-08-09 16:16:12.355088,-105.0
2023-08-09 16:16:12.362779,-100.0
2023-08-09 16:16:12.370469,-95.0
2023-08-09 16:16:12.378159,-88.0
2023-08-09 16:16:12.385850,-88.0
2023-08-09 16:16:12.393540,-88.0
2023-08-09 16:16:12.401230,-83.0
2023-08-09 16:16:12.408921,-81.0
2023-08-09 16:16:12.416611,-85.0
2023-08-09 16:16:12.424301,-88.0
2023-08-09 16:16:12.431992,-90.0
2023-08-09 16:16:12.439682,-90.0
2023-08-09 16:16:12.447372,-93.0
2023-08-09 16:16:12.455063,-93.0
2023-08-09 16:16:12.462753,-93.0
2023-08-09 16:16:12.470443,-93.0
2023-08-09 16:16:12.478134,-97.0
2023-08-09 16:16:12.485824,-102.0
2023-08-09 16:16:12.493514,-102.0
2023-08-09 16:16:12.501205,-102.0
2023-08-09 16:16:12.508895,-107.0
2023-08-09 16:16:12.516585,-112.0
2023-08-09 16:16:12.524276,-119.0
2023-08-09 16:16:12.531966,-124.0
2023-08-09 16:16:12.539656,-112.0
2023-08-09 16:16:12.547347,-85.0
2023-08-09 16:16:12.555037,-54.0
2023-08-09 16:16:12.562727,-47.0
2023-08-09 16:16:12.570418,-59.0
2023-08-09 16:16:12.578108,-66.0
2023-08-09 16:16:12.585798,-66.0
2023-08-09 16:16:12.593489,-74.0
2023-08-09 16:16:12.601179,-93.0
2023-08-09 16:16:12.608869,-109.0
2023-08-09 16:16:12.616560,-109.0
2023-08-09 16:16:12.624250,-107.0
2023-08-09 16:16:12.631940,-109.0
2023-08-09 16:16:12.639631,-109.0
2023-08-09 16:16:12.647321,-102.0
2023-08-09 16:16:12.655011,-100.0
2023-08-09 16:16:12.662702,-107.0
2023-08-09 16:16:12.670392,-105.0
2023-08-09 16:16:12.678082,-97.0
2023-08-09 16:16:12.685773,-100.0
2023-08-09 16:16:12.693463,-121.0
2023-08-09 16:16:12.701153,-136.0
2023-08-09 16:16:12.708844,-50.0
2023-08-09 16:16:12.716534,200.0
2023-08-09 16:16:12.724224,527.0
2023-08-09 16:16:12.731915,632.0
2023-08-09 16:16:12.739605,305.0
2023-08-09 16:16:12.747295,-119.0
2023-08-09 16:16:12.754986,-243.0
2023-08-09 16:16:12.762676,-246.0
2023-08-09 16:16:12.770366,-248.0
2023-08-09 16:16:12.778057,-162.0
2023-08-09 16:16:12.785747,-88.0
2023-08-09 16:16:12.793437,-100.0
2023-08-09 16:16:12.801128,-105.0
2023-08-09 16:16:12.808818,-78.0
2023-08-09 16:16:12.816508,-66.0
2023-08-09 16:16:12.824199,-59.0
2023-08-09 16:16:12.831889,-40.0
2023-08-09 16:16:12.839579,-35.0
2023-08-09 16:16:12.847269,-35.0
2023-08-09 16:16:12.854960,-19.0
2023-08-09 16:16:12.862650,2.0
2023-08-09 16:16:12.870340,16.0
2023-08-09 16:16:12.878031,28.0
2023-08-09 16:16:12.885721,47.0
2023-08-09 16:16:12.893411,69.0
2023-08-09 16:16:12.901102,90.0
2023-08-09 16:16:12.908792,107.0
2023-08-09 16:16:12.916482,119.0
2023-08-09 16:16:12.924173,126.0
2023-08-09 16:16:12.931863,119.0
2023-08-09 16:16:12.939553,97.0
2023-08-09 16:16:12.947244,66.0
2023-08-09 16:16:12.954934,26.0
2023-08-09 16:16:12.962624,-16.0
2023-08-09 16:16:12.970315,-54.0
2023-08-09 16:16:12.978005,-83.0
2023-08-09 16:16:12.985695,-105.0
2023-08-09 16:16:12.993386,-119.0
2023-08-09 16:16:13.001076,-126.0
2023-08-09 16:16:13.008766,-126.0
2023-08-09 16:16:13.016457,-128.0
2023-08-09 16:16:13.024147,-133.0
2023-08-09 16:16:13.031837,-133.0
2023-08-09 16:16:13.039528,-126.0
2023-08-09 16:16:13.047218,-121.0
2023-08-09 16:16:13.054908,-119.0
2023-08-09 16:16:13.062599,-119.0
2023-08-09 16:16:13.070289,-119.0
2023-08-09 16:16:13.077979,-117.0
2023-08-09 16:16:13.085670,-105.0
2023-08-09 16:16:13.093360,-100.0
2023-08-09 16:16:13.101050,-95.0
2023-08-09 16:16:13.108741,-93.0
2023-08-09 16:16:13.116431,-88.0
2023-08-09 16:16:13.124121,-83.0
2023-08-09 16:16:13.131812,-81.0
2023-08-09 16:16:13.139502,-83.0
2023-08-09 16:16:13.147192,-83.0
2023-08-09 16:16:13.154883,-81.0
2023-08-09 16:16:13.162573,-83.0
2023-08-09 16:16:13.170263,-83.0
2023-08-09 16:16:13.177954,-78.0
2023-08-09 16:16:13.185644,-76.0
2023-08-09 16:16:13.193334,-78.0
2023-08-09 16:16:13.201025,-78.0
2023-08-09 16:16:13.208715,-83.0
2023-08-09 16:16:13.216405,-83.0
2023-08-09 16:16:13.224096,-78.0
2023-08-09 16:16:13.231786,-76.0
2023-08-09 16:16:13.239476,-83.0
2023-08-09 16:16:13.247167,-88.0
2023-08-09 16:16:13.254857,-85.0
2023-08-09 16:16:13.262547,-78.0
2023-08-09 16:16:13.270238,-59.0
2023-08-09 16:16:13.277928,-26.0
2023-08-09 16:16:13.285618,-16.0
2023-08-09 16:16:13.293309,-40.0
2023-08-09 16:16:13.300999,-54.0
2023-08-09 16:16:13.308689,-47.0
2023-08-09 16:16:13.316380,-54.0
2023-08-09 16:16:13.324070,-76.0
2023-08-09 16:16:13.331760,-88.0
2023-08-09 16:16:13.339451,-90.0
2023-08-09 16:16:13.347141,-85.0
2023-08-09 16:16:13.354831,-85.0
2023-08-09 16:16:13.362522,-88.0
2023-08-09 16:16:13.370212,-85.0
2023-08-09 16:16:13.377902,-85.0
2023-08-09 16:16:13.385593,-85.0
2023-08-09 16:16:13.393283,-83.0
2023-08-09 16:16:13.400973,-83.0
2023-08-09 16:16:13.408664,-88.0
2023-08-09 16:16:13.416354,-112.0
2023-08-09 16:16:13.424044,-126.0
2023-08-09 16:16:13.431735,-26.0
2023-08-09 16:16:13.439425,236.0
2023-08-09 16:16:13.447115,539.0
2023-08-09 16:16:13.454806,609.0
2023-08-09 16:16:13.462496,260.0
2023-08-09 16:16:13.470186,-150.0
2023-08-09 16:16:13.477877,-246.0
2023-08-09 16:16:13.485567,-234.0
2023-08-09 16:16:13.493257,-238.0
2023-08-09 16:16:13.500948,-148.0
2023-08-09 16:16:13.508638,-76.0
2023-08-09 16:16:13.516328,-93.0
2023-08-09 16:16:13.524019,-97.0
2023-08-09 16:16:13.531709,-74.0
2023-08-09 16:16:13.539399,-69.0
2023-08-09 16:16:13.547089,-64.0
2023-08-09 16:16:13.554780,-52.0
2023-08-09 16:16:13.562470,-42.0
2023-08-09 16:16:13.570160,-33.0
2023-08-09 16:16:13.577851,-19.0
2023-08-09 16:16:13.585541,-4.0
2023-08-09 16:16:13.593231,7.0
2023-08-09 16:16:13.600922,21.0
2023-08-09 16:16:13.608612,33.0
2023-08-09 16:16:13.616302,54.0
2023-08-09 16:16:13.623993,78.0
2023-08-09 16:16:13.631683,88.0
2023-08-09 16:16:13.639373,95.0
2023-08-09 16:16:13.647064,97.0
2023-08-09 16:16:13.654754,88.0
2023-08-09 16:16:13.662444,66.0
2023-08-09 16:16:13.670135,35.0
2023-08-09 16:16:13.677825,-2.0
2023-08-09 16:16:13.685515,-40.0
2023-08-09 16:16:13.693206,-78.0
2023-08-09 16:16:13.700896,-109.0
2023-08-09 16:16:13.708586,-128.0
2023-08-09 16:16:13.716277,-140.0
2023-08-09 16:16:13.723967,-148.0
2023-08-09 16:16:13.731657,-145.0
2023-08-09 16:16:13.739348,-143.0
2023-08-09 16:16:13.747038,-145.0
2023-08-09 16:16:13.754728,-145.0
2023-08-09 16:16:13.762419,-140.0
2023-08-09 16:16:13.770109,-133.0
2023-08-09 16:16:13.777799,-128.0
2023-08-09 16:16:13.785490,-126.0
2023-08-09 16:16:13.793180,-124.0
2023-08-09 16:16:13.800870,-114.0
2023-08-09 16:16:13.808561,-105.0
2023-08-09 16:16:13.816251,-105.0
2023-08-09 16:16:13.823941,-102.0
