Participant ID,Video ID,MOS_Rating
1,1,5
1,2,5
1,3,4
1,4,1
1,5,2
1,6,2
1,7,2
1,8,2
1,9,5
1,10,5
1,11,4
1,12,2
1,13,3
1,14,2
1,15,2
1,16,3
1,17,5
1,18,4
1,19,4
1,20,1
1,21,2
1,22,2
1,23,2
1,24,2
1,25,5
1,26,4
1,27,2
1,28,1
1,29,2
1,30,2
1,31,2
1,32,4
1,33,5
1,34,5
1,35,3
1,36,1
1,37,3
1,38,3
1,39,4
1,40,4
2,1,5
2,2,5
2,3,4
2,4,3
2,5,4
2,6,3
2,7,3
2,8,3
2,9,5
2,10,4
2,11,4
2,12,3
2,13,3
2,14,5
2,15,3
2,16,4
2,17,4
2,18,5
2,19,4
2,20,2
2,21,5
2,22,4
2,23,3
2,24,3
2,25,5
2,26,4
2,27,3
2,28,3
2,29,4
2,30,4
2,31,5
2,32,4
2,33,4
2,34,5
2,35,4
2,36,2
2,37,3
2,38,4
2,39,3
2,40,4
3,1,3
3,2,3
3,3,2
3,4,1
3,5,2
3,6,3
3,7,1
3,8,2
3,9,2
3,10,3
3,11,2
3,12,1
3,13,3
3,14,2
3,15,1
3,16,3
3,17,3
3,18,2
3,19,2
3,20,1
3,21,2
3,22,3
3,23,2
3,24,3
3,25,3
3,26,2
3,27,2
3,28,1
3,29,2
3,30,2
3,31,2
3,32,2
3,33,2
3,34,3
3,35,2
3,36,1
3,37,2
3,38,3
3,39,2
3,40,3
4,1,5
4,2,5
4,3,2
4,4,1
4,5,2
4,6,3
4,7,3
4,8,2
4,9,5
4,10,5
4,11,5
4,12,2
4,13,4
4,14,5
4,15,3
4,16,4
4,17,5
4,18,5
4,19,5
4,20,4
4,21,4
4,22,3
4,23,3
4,24,5
4,25,5
4,26,5
4,27,3
4,28,2
4,29,4
4,30,4
4,31,4
4,32,4
4,33,5
4,34,4
4,35,3
4,36,1
4,37,4
4,38,4
4,39,5
4,40,3
5,1,3
5,2,2
5,3,2
5,4,1
5,5,3
5,6,4
5,7,3
5,8,3
5,9,2
5,10,2
5,11,3
5,12,2
5,13,3
5,14,3
5,15,3
5,16,3
5,17,1
5,18,4
5,19,4
5,20,1
5,21,3
5,22,3
5,23,4
5,24,5
5,25,5
5,26,5
5,27,4
5,28,1
5,29,5
5,30,4
5,31,4
5,32,3
5,33,2
5,34,5
5,35,2
5,36,1
5,37,5
5,38,4
5,39,4
5,40,5
6,1,5
6,2,4
6,3,3
6,4,2
6,5,2
6,6,2
6,7,2
6,8,2
6,9,5
6,10,4
6,11,3
6,12,2
6,13,3
6,14,3
6,15,3
6,16,3
6,17,5
6,18,4
6,19,3
6,20,1
6,21,2
6,22,2
6,23,2
6,24,3
6,25,4
6,26,4
6,27,3
6,28,1
6,29,3
6,30,4
6,31,4
6,32,3
6,33,4
6,34,4
6,35,3
6,36,1
6,37,3
6,38,4
6,39,3
6,40,2
7,1,4
7,2,4
7,3,3
7,4,1
7,5,5
7,6,3
7,7,3
7,8,3
7,9,5
7,10,5
7,11,4
7,12,3
7,13,3
7,14,3
7,15,3
7,16,2
7,17,5
7,18,3
7,19,4
7,20,3
7,21,3
7,22,4
7,23,5
7,24,2
7,25,5
7,26,3
7,27,5
7,28,2
7,29,4
7,30,5
7,31,5
7,32,5
7,33,4
7,34,4
7,35,3
7,36,1
7,37,5
7,38,4
7,39,3
7,40,2
8,1,3
8,2,3
8,3,3
8,4,2
8,5,2
8,6,2
8,7,1
8,8,3
8,9,4
8,10,4
8,11,3
8,12,2
8,13,3
8,14,4
8,15,3
8,16,2
8,17,5
8,18,3
8,19,3
8,20,2
8,21,3
8,22,2
8,23,4
8,24,4
8,25,3
8,26,4
8,27,3
8,28,2
8,29,3
8,30,2
